,ticker,volume
791,XZW0,40594.48218527316
400,EEPG,40560.17120622568
770,IBCZ,40531.270783847984
256,EL4A,39809.80094043887
134,GRON,39231.901378579
420,EEAA,38829.994552529184
855,IBCK,38120.54790182106
255,EL4F,38068.444357366774
424,IQQ7,37670.08788598575
758,LCUW,36947.58432304038
41,IE1A,36725.62912912913
339,FGEQ,36676.33095803642
357,DBXX,36512.29136975455
13,EXXY,35907.8973354232
295,EMEC,35447.16108949416
779,EMND,35112.25257323832
150,AYE1,34799.43847352025
146,IU0E,34656.9631661442
463,UEEG,34421.41879562044
885,IS0D,34241.44101346002
263,EXIA,33844.43502202643
844,2B7D,33241.13401253919
238,WTEJ,33111.27790973872
224,IUSY,32730.526524148852
330,EXSG,32656.51175548589
517,OM3M,32622.028213166144
241,XEYX,32395.084824902722
398,XUEM,32370.19587628866
640,IBC0,32140.74921630094
348,RIZF,31627.596654275094
616,EMUX,31578.447470817122
912,S6X2,31198.959619952493
17,ETL2,31188.790182106095
329,IQQA,31060.904205607476
740,QDVC,30727.02137767221
697,D5BI,30719.349960411717
876,XS5E,30716.86935286935
294,EXVM,30599.310344827587
371,VGWL,30577.0783847981
129,ASR3,30305.347859922178
757,IQQW,29931.680126682502
647,SLMD,29846.32053291536
271,EXSB,29414.609717868338
239,GC40,29295.34319066148
576,4BRZ,29055.347014925374
811,G2XJ,29035.034837688043
220,XDGU,29018.109436954797
993,EXSH,28608.2131661442
278,EXI2,28240.666144200626
153,36BE,27953.50861361772
22,SYBM,27367.78939034046
534,AYE8,27204.20998415214
351,H4ZB,27169.805225653206
40,SYBD,27122.304075235108
721,XD9U,27116.667458432305
356,XDUK,26979.866983372922
345,DELF,26946.330166270785
850,ZA30,26801.7491638796
918,UEFZ,26714.123613312204
867,LYPS,26688.380877742948
167,IS39,26559.009501187647
887,ZPDS,26304.296120348376
130,ASR5,26222.03346303502
419,IQQP,26085.253894080997
242,VOOP,25926.329961089494
323,LYBK,25601.48093385214
663,CEMQ,25512.744514106584
874,H1D5,25008.93774319066
443,XJSE,24838.96630094044
101,B8TQ,24743.13068181818
679,IS30,24732.916864608076
347,RCRS,24648.2423490488
21,IBCB,24576.261282660333
660,EUN0,24291.74030087094
882,XDEE,24112.56527249683
625,EMUS,23786.12373540856
905,ZPDH,23754.585114806017
590,IQQE,23740.18700475436
583,EL46,23406.151253918495
884,IS0C,23272.106888361046
169,SPPU,23144.039575289575
503,IS3K,23046.73475851148
915,IUS3,22988.356294536818
30,UEF6,22840.44
657,XZEU,22674.039184952977
646,EEUX,22440.340077821013
795,MVEW,22411.782828282827
716,ACU5,22384.442023346302
1000,DXSB,22165.009404388715
0,AYE7,22146.210384959715
998,IS4S,22109.56927949327
988,EXI5,22071.083855799374
790,AYEW,21697.483644859814
962,ETSZ,21210.646551724138
444,FLXK,21031.213776722092
307,ELFC,20945.01880877743
205,UEF0,20802.64
835,ZPRC,20771.257323832146
1,2TCA,20486.204049844237
342,FUSA,20469.998416468727
752,IUVE,20219.94671201814
535,IS3C,19563.794932699922
414,EEP,19555.179766536967
1008,UIQK,19448.15849056604
906,ZPDI,19039.015835312748
480,XDEP,19001.67868338558
369,SPYF,18716.79889152811
412,OM3D,18694.778305621538
789,XDWT,18603.999208234363
275,EUNY,18371.232779097387
931,PR1R,18187.721786833856
602,IUSE,18054.558986539985
802,EMWE,18022.719844357976
606,36B5,17997.669003115265
42,EUNT,17896.264449722883
990,EXV3,17716.278213166144
284,EXXV,17698.371473354233
682,EJAH,17698.364980544746
389,VERX,17355.920560747665
691,36B4,17230.08722741433
173,SYBQ,16581.1567695962
676,IBCG,16566.407759303245
257,EXIC,16375.693722943723
246,QYLE,16311.123046875
961,EUN1,16269.703761755485
184,TRDX,16261.910530482977
392,VFEM,16207.673792557403
951,TSWE,16021.380062305296
270,EL4W,15932.510971786834
649,IQQU,15848.001557632399
